RegionID,SizeRank,RegionName,RegionType,StateName,2000-01-31,2000-Q1_avg,2000-Q2_avg,2000-Q3_avg,2000-Q4_avg,2001-Q1_avg,2001-Q2_avg,2001-Q3_avg,2001-Q4_avg,2002-Q1_avg,2002-Q2_avg,2002-Q3_avg,2002-Q4_avg,2003-Q1_avg,2003-Q2_avg,2003-Q3_avg,2003-Q4_avg,2004-Q1_avg,2004-Q2_avg,2004-Q3_avg,2004-Q4_avg,2005-Q1_avg,2005-Q2_avg,2005-Q3_avg,2005-Q4_avg,2006-Q1_avg,2006-Q2_avg,2006-Q3_avg,2006-Q4_avg,2007-Q1_avg,2007-Q2_avg,2007-Q3_avg,2007-Q4_avg,2008-Q1_avg,2008-Q2_avg,2008-Q3_avg,2008-Q4_avg,2009-Q1_avg,2009-Q2_avg,2009-Q3_avg,2009-Q4_avg,2010-Q1_avg,2010-Q2_avg,2010-Q3_avg,2010-Q4_avg,2011-Q1_avg,2011-Q2_avg,2011-Q3_avg,2011-Q4_avg,2012-Q1_avg,2012-Q2_avg,2012-Q3_avg,2012-Q4_avg,2013-Q1_avg,2013-Q2_avg,2013-Q3_avg,2013-Q4_avg,2014-Q1_avg,2014-Q2_avg,2014-Q3_avg,2014-Q4_avg,2015-Q1_avg,2015-Q2_avg,2015-Q3_avg,2015-Q4_avg,2016-Q1_avg,2016-Q2_avg,2016-Q3_avg,2016-Q4_avg,2017-Q1_avg,2017-Q2_avg,2017-Q3_avg,2017-Q4_avg,2018-Q1_avg,2018-Q2_avg,2018-Q3_avg,2018-Q4_avg,2019-Q1_avg,2019-Q2_avg,2019-Q3_avg,2019-Q4_avg,2020-Q1_avg,2020-Q2_avg,2020-Q3_avg,2020-Q4_avg,2021-Q1_avg,2021-Q2_avg,2021-Q3_avg,2021-Q4_avg,2022-Q1_avg,2022-Q2_avg,2022-Q3_avg,2022-Q4_avg,2023-Q1_avg,2023-Q2_avg,2023-Q3_avg,2023-Q4_avg,2024-Q1_avg,Latitude,Longitude
394913,1,"New York, NY",msa,NY,213396,214760.0,219062.3333333333,225944.66666666663,233396.0,240202.66666666663,246878.0,254165.0,262367.0,270148.3333333333,277324.3333333333,286542.0,297948.0,308819.0,319677.3333333333,330646.6666666667,340495.6666666667,349735.0,359800.0,372763.0,386768.6666666667,399083.6666666667,412442.3333333333,426725.3333333333,440549.0,452245.0,461003.6666666667,465645.0,463518.3333333333,459552.0,458325.3333333333,454243.3333333333,449786.0,445763.6666666667,439415.0,430483.6666666667,420866.6666666667,410891.3333333333,401886.6666666667,394199.3333333333,389189.0,388227.6666666667,388259.6666666667,388852.3333333333,385854.6666666667,381685.0,378719.3333333333,374224.3333333333,369533.0,366017.3333333333,366927.3333333333,367857.0,367975.6666666667,369712.6666666667,372929.3333333333,377971.6666666667,383180.3333333333,387432.3333333333,394703.0,398293.6666666667,400977.0,402723.0,404880.0,409394.3333333333,417030.0,422225.0,425456.6666666667,428668.0,431680.6666666667,438674.6666666667,446395.0,451813.3333333333,456739.0,461693.0,467634.3333333333,474204.0,477846.0,481235.6666666667,486559.6666666667,488781.6666666667,489981.0,496104.6666666667,502171.3333333333,502202.6666666667,512318.0,530147.0,547116.6666666666,558583.3333333334,566165.3333333334,579125.6666666666,597681.3333333334,607366.6666666666,601625.3333333334,598421.6666666666,604190.0,614886.3333333334,622515.6666666666,627944.0,40.7127281,-74.0060152
753899,2,"Los Angeles, CA",msa,CA,220076,221440.5,226525.0,233696.0,239948.3333333333,244694.66666666663,251287.0,258706.0,265678.3333333333,271575.3333333333,280935.3333333333,294633.6666666667,308912.0,320697.6666666667,333852.3333333333,350228.3333333333,367956.3333333333,386515.0,414118.0,444636.3333333333,467574.3333333333,484602.6666666667,505218.3333333333,527660.3333333334,551438.6666666666,568384.6666666666,581502.3333333334,588060.6666666666,587453.6666666666,586616.6666666666,581095.0,566663.0,547321.0,526543.3333333334,492271.6666666667,457701.6666666667,433575.0,412654.0,402322.3333333333,394646.6666666667,396386.6666666667,402057.0,406262.6666666667,401944.0,391454.3333333333,387465.0,381838.6666666667,375388.6666666667,367879.6666666667,364823.6666666667,359784.6666666667,366163.0,385187.6666666667,400722.3333333333,412006.0,434222.3333333333,457853.6666666667,468262.0,472735.3333333333,479884.6666666667,494216.6666666667,503994.3333333333,505807.0,505866.3333333333,496607.6666666667,505400.3333333333,530548.0,531611.6666666666,521526.6666666667,542262.3333333334,570737.6666666666,577135.3333333334,584542.0,603484.6666666666,621059.6666666666,634511.6666666666,653418.3333333334,648032.6666666666,633910.3333333334,637621.3333333334,655401.3333333334,665516.3333333334,665932.0,670361.3333333334,706126.0,733983.6666666666,755153.6666666666,786204.6666666666,809347.0,845566.0,885145.3333333334,891116.0,877570.0,855518.3333333334,848150.3333333334,879277.3333333334,911677.0,918247.0,34.0536909,-118.242766
394463,3,"Chicago, IL",msa,IL,148207,148474.5,150069.0,153243.33333333334,157766.66666666666,160547.66666666666,163294.66666666666,166827.66666666666,171215.66666666666,173798.66666666666,176497.33333333334,180109.66666666666,184480.3333333333,187361.66666666663,190458.3333333333,193687.3333333333,198067.3333333333,201213.66666666663,204815.66666666663,209460.0,214474.0,218737.3333333333,223479.3333333333,228601.3333333333,234150.66666666663,238133.0,241809.66666666663,243911.0,244873.66666666663,246322.0,246898.0,245624.3333333333,243119.66666666663,239470.3333333333,235334.0,230114.3333333333,222121.0,212552.0,206338.3333333333,201583.66666666663,196263.66666666663,193500.3333333333,192706.66666666663,189694.0,183860.66666666663,178042.66666666666,174525.66666666666,171791.0,167395.66666666666,163405.33333333334,161367.0,161260.66666666666,160846.0,162128.33333333334,166268.0,170833.0,175981.0,180412.66666666663,183990.66666666663,186688.0,188347.0,189721.66666666663,191487.3333333333,193707.66666666663,196644.66666666663,199952.0,202255.66666666663,203773.66666666663,205947.0,209679.0,213200.3333333333,214339.66666666663,216949.66666666663,220895.0,224177.66666666663,224573.0,225136.3333333333,227621.66666666663,229962.66666666663,229769.0,229630.0,232518.3333333333,234628.0,234618.3333333333,241051.3333333333,250086.3333333333,259329.3333333333,265464.3333333333,267139.3333333333,274858.0,286413.3333333333,288423.3333333333,285193.6666666667,284191.3333333333,288448.6666666667,295464.6666666667,299560.6666666667,300906.0,41.8755616,-87.6244212
394514,4,"Dallas, TX",msa,TX,124266,124353.0,124769.0,125595.33333333331,126953.0,127418.0,127124.66666666669,127570.33333333331,128117.0,128510.66666666669,129748.0,131539.0,132894.66666666666,133631.0,134154.33333333334,134649.66666666666,135218.0,136493.33333333334,141586.0,143203.66666666666,144271.33333333334,145309.33333333334,146083.0,147114.33333333334,147642.0,147763.33333333334,148942.33333333334,150200.66666666666,151576.66666666666,151613.33333333334,151489.0,152687.0,153821.33333333334,152364.0,149808.66666666666,148696.33333333334,146357.66666666666,145151.0,145464.0,145475.33333333334,145669.0,145943.0,145969.66666666666,145003.0,142597.33333333334,140992.0,139351.33333333334,138553.66666666666,138272.66666666666,138028.0,139623.0,141781.0,144056.33333333334,146527.66666666666,149222.33333333334,152556.0,155698.0,159046.0,161921.0,165155.0,168191.66666666666,172258.66666666666,176555.0,181700.3333333333,187298.66666666663,193020.66666666663,198396.3333333333,203231.66666666663,208366.0,213896.66666666663,219660.3333333333,224145.3333333333,228700.3333333333,234123.0,238898.3333333333,241931.0,243653.0,246092.66666666663,247578.66666666663,248055.66666666663,250081.66666666663,254166.3333333333,256313.66666666663,258254.66666666663,266881.3333333333,278337.6666666667,293285.3333333333,308344.3333333333,319844.3333333333,339897.0,365884.0,377180.0,372371.3333333333,365940.0,364094.6666666667,366437.0,366928.3333333333,366689.0,32.7762719,-96.7968559
394692,5,"Houston, TX",msa,TX,120190,120171.0,120271.66666666669,120904.33333333331,122038.66666666669,122612.33333333331,122075.0,122347.33333333331,122778.33333333331,123201.33333333331,124549.0,126246.33333333331,127653.0,128487.66666666669,129245.0,129984.33333333331,130650.33333333331,132146.33333333334,135620.33333333334,138079.0,140294.33333333334,142258.33333333334,143413.66666666666,143831.66666666666,143943.66666666666,144181.0,144940.0,146574.0,148571.33333333334,149729.66666666666,150179.33333333334,151540.0,152584.33333333334,152192.0,151249.66666666666,150138.66666666666,148028.0,146040.66666666666,146204.0,147132.66666666666,146884.0,147144.66666666666,147978.66666666666,146445.0,144032.33333333334,142352.66666666666,140426.66666666666,139696.0,138797.66666666666,138143.0,138511.0,139448.0,140515.66666666666,141868.0,144841.66666666666,148956.33333333334,152986.0,157033.33333333334,161308.33333333334,165776.33333333334,170141.33333333334,175121.0,179604.66666666666,183461.0,186623.0,189657.66666666663,191706.0,193235.3333333333,195136.3333333333,196994.3333333333,198892.0,200253.3333333333,202034.0,204098.3333333333,206464.66666666663,209034.66666666663,211198.3333333333,213562.3333333333,215346.66666666663,216399.3333333333,218319.0,220989.3333333333,222275.66666666663,223980.3333333333,230242.66666666663,238386.3333333333,248528.3333333333,259157.0,267359.6666666667,280609.6666666667,296930.3333333333,305470.6666666667,304524.3333333333,300295.0,298903.0,301101.3333333333,301328.0,300955.0,29.7589382,-95.3676974
395209,6,"Washington, DC",msa,VA,177074,177350.5,179059.66666666666,183003.0,187713.66666666663,192218.66666666663,197410.0,204155.0,210813.3333333333,216652.66666666663,223367.3333333333,232683.66666666663,241652.0,248903.66666666663,257346.66666666663,267217.6666666667,277177.3333333333,286209.3333333333,299148.6666666667,318454.3333333333,336397.0,351778.6666666667,370971.6666666667,392524.0,409096.3333333333,420406.6666666667,429223.6666666667,431325.0,425810.0,421311.0,417979.6666666667,410511.6666666667,400767.0,388644.3333333333,372945.6666666667,355560.3333333333,340284.3333333333,328171.0,319078.3333333333,314463.3333333333,311506.6666666667,314157.0,317660.0,317082.3333333333,313485.0,312107.6666666667,312089.6666666667,309798.0,307456.0,308165.6666666667,312464.6666666667,318067.0,325033.6666666667,331091.6666666667,337366.3333333333,344383.6666666667,351402.0,356625.3333333333,360977.0,362516.0,364164.6666666667,366006.0,367426.6666666667,368841.0,372406.0,375926.3333333333,376556.6666666667,376982.3333333333,380033.3333333333,385627.0,389369.6666666667,390253.6666666667,393892.3333333333,398780.0,402500.0,405298.3333333333,408222.3333333333,411563.6666666667,416411.0,418314.6666666667,421511.3333333333,428520.0,434365.3333333333,438170.6666666667,452674.0,468671.3333333333,486838.3333333333,496881.3333333333,498015.0,510109.3333333333,530502.3333333334,531397.6666666666,522937.3333333333,521055.0,525435.6666666666,534344.3333333334,538117.0,539115.0,38.8950368,-77.0365427
394974,7,"Philadelphia, PA",msa,PA,118647,119000.0,119993.33333333331,121620.33333333331,123486.0,125135.33333333331,127012.66666666669,129418.33333333331,132192.66666666666,134541.0,137269.66666666666,141175.0,145939.0,150004.66666666666,154098.0,159575.0,165073.33333333334,169376.0,174389.33333333334,182120.3333333333,189170.66666666663,195099.0,201178.3333333333,209530.0,217037.0,222309.66666666663,227059.66666666663,231187.66666666663,232319.66666666663,232039.3333333333,233269.66666666663,234000.0,232815.3333333333,231234.66666666663,230360.3333333333,226773.0,221923.0,218259.66666666663,216700.0,214353.3333333333,212716.0,212817.3333333333,213339.3333333333,212529.3333333333,208148.0,204673.66666666663,201943.66666666663,198289.0,195311.0,193384.3333333333,193276.66666666663,192655.0,191762.3333333333,192367.0,193940.66666666663,195313.66666666663,196850.3333333333,198425.66666666663,199551.3333333333,200534.66666666663,200427.66666666663,201314.66666666663,202845.66666666663,205017.0,207132.3333333333,208974.66666666663,210318.0,212334.3333333333,214829.66666666663,216987.0,219393.66666666663,221544.66666666663,224018.66666666663,227207.3333333333,229713.0,230731.0,232648.0,235429.66666666663,238208.0,240016.0,242294.66666666663,246907.3333333333,251850.66666666663,254327.3333333333,263419.6666666667,275191.0,286220.6666666667,293153.0,293821.3333333333,302639.0,316919.3333333333,322084.3333333333,321173.6666666667,321846.0,327243.3333333333,335430.6666666667,340714.3333333333,343101.0,39.9527237,-75.1635262
394856,8,"Miami, FL",msa,FL,111078,111544.5,112986.66666666669,114936.33333333331,117126.33333333331,119460.33333333331,122600.66666666669,127010.0,132100.0,136260.0,140188.0,144896.66666666666,149800.33333333334,155043.66666666666,160960.0,166943.66666666666,173099.66666666666,179010.66666666666,186024.3333333333,195866.0,206508.3333333333,217246.3333333333,230515.3333333333,247369.3333333333,262686.6666666667,274481.3333333333,287364.3333333333,296656.3333333333,299113.6666666667,298337.6666666667,292860.3333333333,283497.3333333333,272406.6666666667,258230.0,242199.3333333333,225651.3333333333,207185.3333333333,192220.0,179796.33333333334,170155.66666666666,164350.66666666666,161664.66666666666,160546.0,157172.33333333334,152892.66666666666,149216.33333333334,146550.33333333334,144036.33333333334,143353.66666666666,143827.0,144531.33333333334,147244.33333333334,151069.0,157580.0,165321.66666666666,173059.0,180360.3333333333,186874.66666666663,193441.66666666663,199294.0,204385.3333333333,209745.0,214623.3333333333,220089.3333333333,226034.0,230899.66666666663,235884.0,240814.3333333333,245692.66666666663,249671.66666666663,254949.3333333333,259480.0,264476.0,269488.3333333333,273191.6666666667,277592.0,281759.6666666667,285655.6666666667,286700.3333333333,287323.0,290726.0,297020.0,299710.6666666667,301178.0,310267.0,321988.0,335352.6666666667,351951.3333333333,365817.0,387918.6666666667,418364.0,437900.3333333333,442166.3333333333,444119.0,448972.3333333333,459167.3333333333,467906.3333333333,472969.0,25.7741728,-80.19362
394347,9,"Atlanta, GA",msa,GA,142398,142920.0,144874.66666666666,147853.66666666666,151037.66666666666,153761.0,156014.33333333334,158371.66666666666,160655.0,162473.0,164030.66666666666,165475.66666666666,166843.0,167776.33333333334,168639.0,169646.0,170724.0,171499.0,172519.0,173825.0,175317.66666666666,176588.0,178176.66666666666,180095.33333333334,181901.66666666663,183553.66666666663,185033.0,186869.0,188124.0,189016.0,190089.0,190528.0,189221.0,186208.66666666663,182758.66666666663,179276.66666666666,173940.0,166107.66666666666,159363.66666666666,154687.66666666666,151411.33333333334,149353.66666666666,148623.66666666666,145679.0,139967.0,135136.33333333334,130196.33333333331,125652.66666666669,124370.0,122891.33333333331,123733.66666666669,125475.66666666669,127067.33333333331,129789.66666666669,135426.66666666666,142330.0,148052.33333333334,153130.0,157836.66666666666,161310.33333333334,163946.33333333334,166741.33333333334,169750.66666666666,173260.33333333334,176955.0,180983.3333333333,184531.0,186930.66666666663,190180.66666666663,194591.3333333333,198657.3333333333,201999.66666666663,206081.66666666663,211712.3333333333,216383.0,220456.66666666663,224884.0,229371.0,232338.0,234202.3333333333,237066.66666666663,242036.3333333333,245127.0,248048.3333333333,258014.66666666663,270827.0,285794.6666666667,300824.6666666667,314473.3333333333,335201.6666666667,357283.6666666667,366388.6666666667,363238.6666666667,359156.0,360311.3333333333,365519.0,369259.0,370547.0,33.7489924,-84.3902644
394404,10,"Boston, MA",msa,MA,209891,211200.0,215274.3333333333,223113.66666666663,233656.3333333333,243273.0,251804.0,261035.66666666663,271189.3333333333,278898.6666666667,285423.0,293226.6666666667,304390.3333333333,314366.6666666667,323540.6666666667,330096.3333333333,336325.3333333333,343168.6666666667,350518.0,357738.0,366203.3333333333,373521.6666666667,381344.3333333333,384484.3333333333,386387.0,385392.0,383017.6666666667,377592.3333333333,369972.3333333333,365219.6666666667,362715.6666666667,359138.6666666667,354489.3333333333,348938.6666666667,343492.6666666667,337776.3333333333,330122.0,323773.0,319250.0,318196.6666666667,317796.6666666667,320838.0,323912.3333333333,323690.6666666667,319827.6666666667,317358.3333333333,314163.3333333333,311562.6666666667,307265.6666666667,304797.6666666667,306860.3333333333,311108.3333333333,315272.0,321647.6666666667,326730.0,333312.3333333333,340867.3333333333,347736.6666666667,353284.3333333333,356745.6666666667,359594.0,366121.3333333333,371819.6666666667,376760.6666666667,384769.6666666667,392525.3333333333,398580.3333333333,403016.3333333333,409420.6666666667,417466.6666666667,425814.0,432860.0,438880.6666666667,445896.6666666667,454606.3333333333,461844.6666666667,464401.3333333333,464583.3333333333,468012.6666666667,469586.6666666667,471752.0,478691.0,486281.3333333333,491612.3333333333,509871.3333333333,530814.0,552563.0,564936.0,565129.3333333334,581475.3333333334,611463.3333333334,618420.3333333334,607949.0,604776.3333333334,613982.3333333334,632731.6666666666,646064.6666666666,650890.0,42.3554334,-71.060511
